k,correlation,beta
1,1.0881340851849532e-05,490
2,4.255168309623009e-06,490
3,4.7833207065063495e-06,490
4,1.4935588167412335e-06,490
5,2.6175477386538528e-06,490
6,5.54471442369286e-07,490
7,1.3784404103836046e-06,490
8,9.459501213492004e-07,490
9,-2.562695797278898e-06,490
10,1.7731643428742706e-06,490
11,2.6910868994397943e-06,490
12,8.169026144479091e-07,490
13,4.249034892162178e-07,490
14,6.133694850564164e-07,490
15,-8.655673298926157e-07,490
16,-2.867797563649933e-06,490
17,-5.976776392397781e-06,490
18,1.794812221260566e-06,490
19,3.452333831568474e-07,490
20,-1.0705066698602578e-06,490
21,-1.965539494629231e-06,490
22,4.117804142653408e-07,490
23,-2.550481655317097e-07,490
24,-2.5243621399576164e-06,490
25,-1.56784157155854e-06,490
26,2.3167554447927533e-07,490
27,4.146758118177076e-08,490
28,-7.081510409470562e-07,490
29,1.780371521589149e-06,490
30,-1.5760152283735235e-06,490
31,3.815517367207149e-06,490
32,2.322457088910539e-07,490
33,3.5334759238849653e-06,490
34,1.4036770278041508e-06,490
35,1.9888662012263597e-07,490
36,-1.330106560896802e-06,490
37,2.0498371409607263e-06,490
38,-1.217816540313371e-06,490
39,4.669430431906357e-06,490
40,-1.467014649823242e-07,490
41,-1.1610147928071637e-07,490
42,-1.5660267673252704e-07,490
43,3.716877460321112e-07,490
44,-3.4107500057916385e-06,490
45,2.483899883693217e-06,490
46,2.100042129534783e-06,490
47,-2.3324557595171477e-06,490
48,1.0702571159213331e-06,490
49,-3.151511425120413e-06,490
50,-1.372062139494813e-06,490
